GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,3,570,MIN,,50,GSW,S. Curry makes 3-pt jump shot from 29 ft (assist by K. Durant),61,S. Curry - GSW,3-pt jump shot,make,29,K. Durant - GSW
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,3,486,MIN,,53,GSW,S. Curry makes 2-pt jump shot from 20 ft,66,S. Curry - GSW,2-pt jump shot,make,20,
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,3,409,MIN,,56,GSW,S. Curry misses 2-pt jump shot from 15 ft,68,S. Curry - GSW,2-pt jump shot,miss,15,
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,3,175,MIN,,69,GSW,S. Curry makes 2-pt jump shot from 9 ft (assist by K. Durant),80,S. Curry - GSW,2-pt jump shot,make,9,K. Durant - GSW
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,3,129,MIN,,71,GSW,S. Curry makes 2-pt layup from 3 ft,82,S. Curry - GSW,2-pt layup,make,3,
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,3,108,MIN,,71,GSW,S. Curry makes 2-pt layup from 2 ft (assist by A. Iguodala),84,S. Curry - GSW,2-pt layup,make,2,A. Iguodala - GSW
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,3,76,MIN,,71,GSW,S. Curry makes 3-pt jump shot from 23 ft (assist by J. McGee),87,S. Curry - GSW,3-pt jump shot,make,23,J. McGee - GSW
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,3,36,MIN,,73,GSW,S. Curry makes 3-pt jump shot from 29 ft,90,S. Curry - GSW,3-pt jump shot,make,29,
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,3,3,MIN,,73,GSW,S. Curry misses 3-pt jump shot from 27 ft,90,S. Curry - GSW,3-pt jump shot,miss,27,
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,4,303,MIN,,89,GSW,S. Curry makes 2-pt layup from 2 ft,102,S. Curry - GSW,2-pt layup,make,2,
regular,Oracle Arena Oakland California,November 26 2016,10:30 PM,GSW,4,227,MIN,,92,GSW,S. Curry misses 3-pt jump shot from 26 ft,102,S. Curry - GSW,3-pt jump shot,miss,26,
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,1,648,HOU,,4,GSW,S. Curry makes 2-pt jump shot from 12 ft (assist by D. Green),4,S. Curry - GSW,2-pt jump shot,make,12,D. Green - GSW
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,1,432,HOU,,13,GSW,S. Curry misses 3-pt jump shot from 26 ft,8,S. Curry - GSW,3-pt jump shot,miss,26,
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,2,416,HOU,,43,GSW,S. Curry makes 3-pt jump shot from 29 ft (assist by S. Livingston),44,S. Curry - GSW,3-pt jump shot,make,29,S. Livingston - GSW
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,3,629,HOU,,64,GSW,S. Curry misses 2-pt jump shot from 12 ft,62,S. Curry - GSW,2-pt jump shot,miss,12,
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,3,481,HOU,,70,GSW,S. Curry misses 3-pt jump shot from 29 ft,66,S. Curry - GSW,3-pt jump shot,miss,29,
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,3,381,HOU,,77,GSW,S. Curry misses 2-pt layup from 2 ft (block by C. Capela),67,S. Curry - GSW,2-pt layup,miss,2,
regular,Oracle Arena Oakland California,December 1 2016,10:30 PM,HOU,3,375,HOU,,77,GSW,S. Curry misses 3-pt jump shot from 26 ft,67,S. Curry - GSW,3-pt jump shot,miss,26,
