GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,4,346,GSW,I. Clark makes 3-pt jump shot from 23 ft (assist by D. Green),115,SAS,,98,I. Clark - GSW,3-pt jump shot,make,23,D. Green - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,4,284,GSW,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),118,SAS,,102,S. Curry - GSW,3-pt jump shot,make,24,D. Green - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,4,246,GSW,I. Clark makes 2-pt jump shot from 7 ft (assist by K. Durant),120,SAS,,104,I. Clark - GSW,2-pt jump shot,make,7,K. Durant - GSW
playoff,AT&T Center San Antonio Texas,May 22 2017,9:00 PM,GSW,4,91,GSW,D. Jones makes 2-pt hook shot from 9 ft (assist by M. Barnes),127,SAS,,110,D. Jones - GSW,2-pt hook shot,make,9,M. Barnes - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,1,234,GSW,J. McGee makes 2-pt layup from 2 ft (assist by S. Curry),7,SAS,,26,J. McGee - GSW,2-pt layup,make,2,S. Curry - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,1,151,GSW,A. Iguodala makes 3-pt jump shot from 23 ft (assist by S. Curry),13,SAS,,31,A. Iguodala - GSW,3-pt jump shot,make,23,S. Curry - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,1,50,GSW,A. Iguodala makes 2-pt jump shot from 20 ft (assist by S. Livingston),15,SAS,,33,A. Iguodala - GSW,2-pt jump shot,make,20,S. Livingston - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,2,685,GSW,M. Barnes makes 3-pt jump shot from 25 ft (assist by I. Clark),20,SAS,,33,M. Barnes - GSW,3-pt jump shot,make,25,I. Clark - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,2,637,GSW,K. Thompson makes 2-pt jump shot from 20 ft (assist by M. Barnes),22,SAS,,35,K. Thompson - GSW,2-pt jump shot,make,20,M. Barnes - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,2,521,GSW,I. Clark makes 3-pt jump shot from 25 ft (assist by M. Barnes),27,SAS,,37,I. Clark - GSW,3-pt jump shot,make,25,M. Barnes - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,2,457,GSW,D. Green makes 2-pt jump shot from 5 ft (assist by D. West),29,SAS,,40,D. Green - GSW,2-pt jump shot,make,5,D. West - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,2,380,GSW,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Livingston),33,SAS,,43,K. Thompson - GSW,3-pt jump shot,make,24,S. Livingston - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,2,279,GSW,A. Iguodala makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),41,SAS,,45,A. Iguodala - GSW,3-pt jump shot,make,26,Z. Pachulia - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,2,257,GSW,Z. Pachulia makes 2-pt layup from 1 ft (assist by S. Curry),43,SAS,,45,Z. Pachulia - GSW,2-pt layup,make,1,S. Curry - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,2,209,GSW,S. Livingston makes 2-pt jump shot from 14 ft (assist by S. Curry),45,SAS,,45,S. Livingston - GSW,2-pt jump shot,make,14,S. Curry - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,2,100,GSW,S. Curry makes 2-pt layup from 3 ft (assist by Z. Pachulia),47,SAS,,52,S. Curry - GSW,2-pt layup,make,3,Z. Pachulia - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,2,70,GSW,K. Thompson makes 3-pt jump shot from 29 ft (assist by S. Curry),50,SAS,,55,K. Thompson - GSW,3-pt jump shot,make,29,S. Curry - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,3,640,GSW,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),59,SAS,,57,K. Thompson - GSW,3-pt jump shot,make,25,D. Green - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,3,561,GSW,S. Curry makes 3-pt jump shot from 27 ft (assist by M. Barnes),62,SAS,,57,S. Curry - GSW,3-pt jump shot,make,27,M. Barnes - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,3,454,GSW,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),67,SAS,,59,S. Curry - GSW,3-pt jump shot,make,26,D. Green - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,3,352,GSW,S. Curry makes 3-pt jump shot from 25 ft (assist by A. Iguodala),70,SAS,,63,S. Curry - GSW,3-pt jump shot,make,25,A. Iguodala - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,3,175,GSW,D. West makes 2-pt jump shot from 16 ft (assist by S. Curry),74,SAS,,72,D. West - GSW,2-pt jump shot,make,16,S. Curry - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,3,155,GSW,J. McGee makes 2-pt dunk at rim (assist by S. Curry),76,SAS,,72,J. McGee - GSW,2-pt dunk,make,0,S. Curry - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,3,121,GSW,A. Iguodala makes 2-pt jump shot from 20 ft (assist by D. West),78,SAS,,73,A. Iguodala - GSW,2-pt jump shot,make,20,D. West - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,3,79,GSW,A. Iguodala makes 2-pt jump shot from 16 ft (assist by D. Green),80,SAS,,75,A. Iguodala - GSW,2-pt jump shot,make,16,D. Green - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,3,41,GSW,D. Green makes 2-pt jump shot from 5 ft (assist by S. Curry),82,SAS,,77,D. Green - GSW,2-pt jump shot,make,5,S. Curry - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,3,9,GSW,S. Curry makes 2-pt dunk at rim (assist by S. Livingston),84,SAS,,77,S. Curry - GSW,2-pt dunk,make,0,S. Livingston - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,4,651,GSW,K. Thompson makes 2-pt layup from 1 ft (assist by D. West),86,SAS,,79,K. Thompson - GSW,2-pt layup,make,1,D. West - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,4,580,GSW,I. Clark makes 2-pt layup from 1 ft (assist by D. West),90,SAS,,81,I. Clark - GSW,2-pt layup,make,1,D. West - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,4,473,GSW,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. West),95,SAS,,88,K. Thompson - GSW,3-pt jump shot,make,25,D. West - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,4,437,GSW,D. West makes 2-pt jump shot from 19 ft (assist by M. Barnes),97,SAS,,90,D. West - GSW,2-pt jump shot,make,19,M. Barnes - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,4,307,GSW,D. West makes 2-pt jump shot from 18 ft (assist by S. Curry),103,SAS,,93,D. West - GSW,2-pt jump shot,make,18,S. Curry - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,4,171,GSW,D. West makes 2-pt layup from 2 ft (assist by S. Curry),105,SAS,,94,D. West - GSW,2-pt layup,make,2,S. Curry - GSW
regular,AT&T Center San Antonio Texas,March 29 2017,9:30 PM,GSW,4,128,GSW,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),107,SAS,,96,S. Curry - GSW,2-pt layup,make,1,D. Green - GSW
